Bib,Name,50k split,100k split,Sex
1010,Brian Schneidewind,1:35:06,3:13:43,M
1136,Mike Rossey,1:36:50,3:17:40,M
1109,Tim Watkins,1:36:51,3:17:59,M
1087,Edgardo Reyes,1:33:54,3:18:02,M
1044,Brian Probst,1:38:56,3:18:05,M
1027,Mark Eelnurme,1:38:57,3:18:36,M
1119,Travis Ozbat,1:36:50,3:19:13,M
1090,Curtis Williams,1:35:47,3:19:21,M
1139,Anthony Lewis,1:38:18,3:21:17,M
1038,Craig Akers,1:35:25,3:21:38,M
1039,Peter Boyse,1:35:26,3:21:39,M
1088,Larry Bohnsack,1:35:23,3:21:39,M
1143,Dave Lalone,1:39:25,3:21:59,M
1049,Jason Ratliff,1:39:17,3:22:27,M
826,Joe Moceri,1:38:56,3:23:08,M
1096,Erik Choisy,1:40:12,3:23:53,M
1153,Jacob Dwyer,1:38:21,3:24:32,M
1165,Raymond Dybowski,1:43:57,3:25:35,M
1171,Brett Beddow,1:32:11,3:25:35,M
1169,Benjapol Piyawanichpong,1:42:42,3:26:54,M
1149,Christopher Ramirez,1:42:37,3:29:32,M
1145,Sarkis Anusbigian,1:43:27,3:29:54,M
1058,Jacob Morrison,1:42:16,3:30:01,M
1083,Justin Lesniak,1:28:21,3:31:23,M
1141,Ian van Duijvenboode,1:45:32,3:31:23,M
1130,Bill Vanstensel,1:44:01,3:33:50,M
1068,Braeden Sawyer,1:38:21,3:36:03,M
1173,Nick Richards,1:44:12,3:36:11,M
1144,Todd Altstetter,1:48:25,3:36:34,M
1095,David Bilos,1:47:43,3:36:55,M
1134,Fred Ivesen,1:45:59,3:37:36,M
1115,Ralf Mielke,1:47:01,3:38:15,M
1082,Charles Bunn,1:42:42,3:38:54,M
1056,Steven Trosin,1:45:41,3:40:42,M
1099,Brian McCabe,1:49:29,3:41:50,M
1151,John Salvatore,1:46:16,3:41:58,M
1124,Jonathan Alumbaugh,1:44:44,3:44:56,M
1129,Matthew Derry,1:49:03,3:48:21,M
1060,Adam Sulkes,1:56:56,3:48:48,M
1003,George Klinich,1:55:03,3:51:39,M
1108,Austin Schuld,1:53:09,3:59:02,M
1072,Colin Chisholm,1:51:23,3:59:29,M
1160,Stephen Malinowski,1:53:56,4:00:15,M
1031,Cary Cato,1:59:59,4:02:41,M
1089,Nicholas Casarez,2:00:46,4:04:01,M
1135,Jeff Mosher,1:53:09,4:06:21,M
1076,John Wheeler II,1:56:03,4:06:53,M
1133,Michal Piotrowski,2:01:17,4:08:15,M
1020,David Lynch,2:00:39,4:10:06,M
1034,Gregory Lafayette,2:00:38,4:10:06,M
1077,Zachary Nachazel,1:59:11,4:11:22,M
1042,Nathan Schickel,2:05:09,4:15:34,M
1064,Steve Williams,2:08:11,4:20:09,M
1117,Corey Wotring,2:08:18,4:28:40,M
1125,Todd Javorski,2:07:54,4:31:19,M
1104,Ron Dallison,2:07:43,4:35:41,M
1150,Jake Seeger,2:07:47,4:35:41,M
1111,Brent Lotterman,2:01:43,4:41:46,M
1123,Len Radwanski,2:10:51,4:43:46,M
1122,Mike Powers,2:12:15,4:49:05,M
1015,Christina Vipond,1:35:05,3:13:39,F
1080,Victoria Cane,1:35:05,3:13:41,F
1028,Merete Stenersen,1:57:09,4:09:13,F
1006,Ellen Muehlberger,2:08:06,4:15:36,F
1159,Laura Fletcher Riegee,2:03:07,4:17:56,F
1079,Di Payne,2:08:26,4:18:48,F
1069,Amy Yanz,2:04:49,4:19:03,F
1055,Courtney Javorski,2:23:32,4:54:27,F
