SAMP_NUM,SA_GS_3,SA_GS_6,SA_GS_9,SA_GS_12,SA_GS_15,SA_GS_17,SA_GS_19,SA_GS_21,SA_GS_23,SA_GS_26,SA_GS_29,SA_GS_32,SA_DET_54,Test Condition
1542583,7.383,13.683,19.789,,2.561,1.265,3.9710000000000005,2.7190000000000003,,17.352999999999998,11.079,2.521,20.964999999999996,PRE
1542584,7.416,13.675999999999997,19.714,,2.9030000000000005,1.5330000000000001,3.649,2.3710000000000004,,17.291999999999998,11.074,2.4879999999999995,20.965000000000003,PRE
1542585,7.280000000000001,13.547999999999998,19.602,5.962000000000001,2.927,1.6070000000000002,3.5589999999999997,2.327,2.5980000000000003,17.21,10.994,2.414,20.953,PRE
1542586,7.249,13.523,19.622999999999998,6.215,2.8729999999999998,1.519,3.6750000000000003,2.4170000000000003,2.769,17.157,10.890999999999998,2.419,20.965999999999998,PRE
1542587,7.234999999999999,13.506999999999998,19.605000000000004,5.941999999999999,3.116,1.7440000000000002,3.49,2.204,2.3020000000000005,17.123,10.887,2.375,20.932,PRE
1542588,7.17,13.422000000000002,19.57,5.909000000000001,3.1660000000000004,1.834,3.5179999999999993,2.2439999999999998,2.479,17.128,10.847999999999997,2.4019999999999997,20.944000000000003,PRE
1542589,7.226999999999999,13.464999999999998,19.527,6.018,3.1720000000000006,1.848,3.3099999999999996,2.0540000000000003,2.632,17.123,10.896999999999998,2.3850000000000002,20.974999999999998,PRE
1542590,7.258,13.564,19.714,5.913999999999999,2.851,1.5230000000000001,3.707,2.455,2.604,17.317999999999998,11.01,2.456,20.981,PRE
1542591,7.159,13.447,19.572999999999997,5.897,2.885,1.5130000000000001,3.7390000000000003,2.479,2.551,17.167,10.867,2.327,20.921,PRE
1542592,7.285,13.571,19.666999999999998,6.021000000000001,2.858,1.512,3.6980000000000004,2.452,2.687,17.237000000000002,10.997000000000002,2.4789999999999996,20.957,PRE
1542593,7.269000000000001,13.514999999999999,19.543000000000003,5.986,2.8100000000000005,1.5060000000000002,3.644,2.4040000000000004,2.482,17.143,10.967,2.4450000000000003,20.945999999999998,PRE
1542876,7.406,13.682,19.758,,2.859,1.531,3.6949999999999994,2.449,,17.328,11.056000000000001,2.49,20.943,PRE
1542877,7.384,13.658,19.704,,2.84,1.51,3.632,2.394,,17.284000000000002,11.068000000000001,2.5039999999999996,20.903000000000002,PRE
1542878,7.2749999999999995,13.505000000000003,19.564999999999998,,3.1490000000000005,1.821,3.383,2.141,,17.173000000000002,10.951,2.443,20.971999999999998,PRE
1542879,7.247,13.488999999999997,19.589,,2.856,1.5140000000000002,3.734,2.496,,17.155,10.907,2.4189999999999996,20.967,PRE
1542880,7.3549999999999995,13.626999999999999,19.718999999999998,,3.0169999999999995,1.6909999999999998,3.541,2.305,,17.261000000000003,11.039,2.511,20.971,PRE
1542881,7.334,13.606,19.656,,2.641,1.2950000000000002,3.875,2.641,,17.233999999999998,11.024000000000001,2.4719999999999995,20.995,PRE
1542882,7.42,13.692,19.812,,2.9730000000000008,1.633,3.6169999999999995,2.3689999999999998,,17.394,11.084,2.558,20.962999999999997,PRE
1542883,7.3020000000000005,13.577999999999998,19.718,,2.92,1.5680000000000003,3.7439999999999998,2.47,,17.258,10.985999999999999,2.4699999999999998,20.948999999999998,PRE
1542923,7.401,13.652999999999999,19.790999999999997,,2.9419999999999993,1.5940000000000003,3.6779999999999995,2.426,,17.322999999999997,11.063,2.523,20.982000000000003,PRE
1542924,7.291,13.524999999999999,19.617,,3.0989999999999998,1.7550000000000003,3.431,2.1809999999999996,,17.167,10.981,2.4649999999999994,20.979,PRE
1542925,7.431000000000001,13.679,19.739,,2.72,1.372,3.8259999999999996,2.58,,17.279,11.061,2.5690000000000004,20.958000000000002,PRE
1542926,7.379999999999999,13.615999999999998,19.673999999999996,,2.9079999999999995,1.562,3.6319999999999997,2.4000000000000004,,17.258,11.038,2.4739999999999998,20.966,PRE
1542949,7.327,13.633,19.691,,2.8959999999999995,1.5779999999999998,3.618,2.382,,17.289,11.023,2.433,20.959,PRE
1542950,7.282,13.543999999999999,19.68,,3.081,1.7309999999999999,3.5730000000000004,2.307,,17.215999999999998,10.925999999999998,2.424,20.975000000000005,PRE
1542951,7.41,13.66,19.788,,2.792,1.4540000000000002,3.712,2.4680000000000004,,17.396,11.07,2.4760000000000004,20.970999999999997,PRE
1542952,7.361,13.610999999999999,19.697000000000003,,2.9749999999999996,1.657,3.583,2.333,,17.250999999999998,11.039,2.505,20.999,PRE
1542953,7.29,13.565999999999999,19.644,,2.954,1.6100000000000003,3.622,2.37,,17.192,10.973999999999998,2.444,20.954,PRE
1543007,7.299,13.568999999999997,19.661000000000005,,2.815,1.469,3.7569999999999997,2.499,,17.207000000000004,10.987,2.4029999999999996,20.956000000000003,PRE
1543008,7.316000000000001,13.531999999999998,19.596,,3.023,1.693,3.483,2.239,,17.188000000000002,10.974,2.458,20.941999999999997,PRE
1543009,7.248,13.479999999999997,19.566000000000003,,2.8899999999999997,1.5579999999999998,3.6199999999999997,2.384,,17.16,10.93,2.39,20.974999999999998,PRE
1543010,7.375,13.646999999999998,19.717,,2.9509999999999996,1.6230000000000002,3.6029999999999998,2.371,,17.319,11.079,2.5149999999999997,20.977999999999994,PRE
1543011,7.347999999999999,13.596,19.704,,2.644,1.3299999999999998,3.926,2.7039999999999997,,17.292,10.996000000000002,2.514,20.965,PRE
1543012,7.33,13.623999999999997,19.680000000000003,,2.91,1.5819999999999999,3.5660000000000003,2.348,,17.236,11.01,2.4599999999999995,20.946,PRE
1543013,7.378,13.658000000000001,19.727999999999998,,3.168,1.854,3.312,2.0879999999999996,,17.33,11.076,2.5119999999999996,20.997999999999998,PRE
1543014,7.295,13.568999999999999,19.677000000000003,,2.7630000000000003,1.4289999999999998,3.7990000000000004,2.537,,17.249000000000002,11.017000000000001,2.501,20.961,PRE
1543015,7.2620000000000005,13.558,19.66,,2.8689999999999998,1.527,3.709,2.4650000000000003,,17.227999999999998,10.988000000000001,2.4080000000000004,20.981,PRE
1543016,7.25,13.484000000000002,19.548000000000002,,3.0380000000000003,1.7220000000000002,3.46,2.2319999999999998,,17.130000000000003,10.925999999999998,2.4040000000000004,20.971,PRE
1543017,7.315000000000001,13.573,19.663,,2.823,1.455,3.7449999999999997,2.481,,17.207,10.973,2.457,20.946,PRE
1543018,7.356000000000001,13.626,19.704,,3.0430000000000006,1.7209999999999996,3.491,2.249,,17.274,11.046,2.518,20.999000000000002,PRE
1543094,7.272,13.518,19.638,,2.952,1.638,3.546,2.304,,17.19,10.944,2.376,21.006,PRE
1543095,7.326,13.59,19.692,,3.024,1.71,3.492,2.25,,17.244,10.962,2.394,21.015,PRE
1543096,7.146,13.41,19.53,,3.177,1.863,3.339,2.079,,17.046,10.89,2.322,20.988,PRE
1543097,7.137,13.455,19.557,,3.15,1.854,3.33,2.106,,17.091,10.863,2.259,20.97,PRE
1543098,7.209,13.527,19.665,,3.087,1.683,3.519,2.313,,17.181,10.971,2.349,21.006,PRE
1543099,7.182,13.518,19.638,,3.087,1.755,3.465,2.241,,17.136,10.962,2.304,21.033,PRE
1543100,7.326,13.59,19.71,6.102,3.132,1.764,3.42,2.196,2.592,17.19,10.962,2.394,20.988,PRE
1543101,7.353,13.617,19.737,5.616,2.817,1.449,3.771,2.511,2.34,17.325,10.971,2.457,20.988,PRE
1543102,7.155,13.473,19.665,6.273,2.889,1.539,3.807,2.565,2.781,17.073,10.863,2.313,21.042,PRE
1543103,7.29,13.554,19.656,6.597,2.952,1.656,3.618,2.322,2.835,17.136,10.926,2.43,20.997,PRE
1543104,7.2,13.464,19.548,6.111,3.141,1.827,3.429,2.169,2.619,17.1,10.89,2.358,21.006,PRE
1543105,7.245,13.509,19.701,6.309,3.006,1.674,3.618,2.34,2.853,17.163,10.917,2.331,21.024,PRE
1543106,7.263,13.581,19.665,6.021,3.06,1.71,3.474,2.25,2.511,17.181,10.989,2.331,20.988,PRE
1543107,7.281,13.617,19.773,6.498,2.835,1.503,3.699,2.475,2.898,17.307,11.007,2.403,21.015,PRE
1543108,7.128,13.374,19.566,6.273,3.069,1.737,3.555,2.277,2.853,17.082,10.782,2.322,21.015,PRE
1543109,7.263,13.509,19.647,5.931,3.033,1.683,3.483,2.223,2.475,17.289,10.989,2.331,20.997,PRE
1543110,7.335,13.599,19.719,6.102,3.141,1.827,3.411,2.169,2.592,17.217,10.989,2.403,20.988,PRE
1543111,7.254,13.572,19.728,5.913,2.781,1.449,3.807,2.601,2.439,17.37,10.998,2.448,21.042,PRE
1543112,7.146,13.392,19.512,5.895,3.069,1.737,3.483,2.187,2.457,17.01,10.89,2.286,21.015,PRE
1543113,7.335,13.653,19.791,5.958,3.204,1.872,3.42,2.16,2.538,17.361,11.025,2.475,20.997,PRE
1543114,7.254,13.572,19.746,6.165,3.033,1.683,3.573,2.331,2.817,17.172,10.944,2.322,21.024,PRE
1543115,7.119,13.365,19.539,6.003,3.033,1.719,3.573,2.295,2.637,17.145,10.953,2.313,20.997,PRE
1543116,7.245,13.509,19.593,6.372,2.997,1.683,3.501,2.277,2.97,17.127,10.953,2.349,21.015,PRE
1543117,7.371,13.635,19.755,5.76,2.979,1.647,3.555,2.367,2.34,17.343,10.989,2.493,20.988,PRE
1543118,7.209,13.473,19.629,6.039,3.033,1.737,3.501,2.259,2.799,17.145,10.881,2.367,21.006,PRE
1543119,7.236,13.608,19.692,5.859,2.934,1.584,3.564,2.358,2.673,17.316,10.98,2.394,20.997,PRE
1543120,7.218,13.536,19.692,5.886,2.979,1.665,3.609,2.349,2.448,17.316,10.962,2.412,21.024,PRE
1543121,7.236,13.554,19.692,5.985,2.943,1.611,3.645,2.349,2.529,17.244,10.962,2.394,20.988,PRE
1541475,7.56,13.734,19.71,5.472,2.853,1.485,3.537,2.241,2.25,17.316,11.142,2.772,20.988,POST
1541476,7.416,13.68,19.782,5.76,2.646,1.26,3.888,2.628,2.664,17.37,11.088,2.61,20.853,POST
1541477,7.803,14.031,20.097,6.057,2.556,1.188,4.05,2.808,2.673,17.703,11.475,2.979,21.033,POST
1541478,7.506,13.77,19.908,5.517,2.493,1.125,4.149,2.835,2.169,17.442,11.106,2.736,20.934,POST
1541479,7.353,13.689,19.791,5.913,2.709,1.323,3.915,2.637,2.619,17.253,11.061,2.511,20.907,POST
1541480,7.569,13.779,19.845,5.67,2.565,1.161,4.005,2.745,2.52,17.379,11.115,2.673,20.907,POST
1541481,7.326,13.608,19.692,5.526,2.79,1.368,3.834,2.556,2.376,17.226,10.962,2.484,20.889,POST
1541482,7.452,13.68,19.71,6.138,2.763,1.413,3.789,2.529,2.844,17.19,11.016,2.574,20.952,POST
1541483,7.776,14.04,19.998,5.454,2.439,0.999,4.077,2.799,2.376,17.604,11.43,2.88,20.997,POST
1541484,7.479,13.707,19.791,5.616,2.754,1.368,3.834,2.574,2.286,17.361,11.079,2.601,20.916,POST
1541485,7.776,13.986,20.034,5.436,2.412,1.008,4.176,2.916,2.232,17.64,11.412,2.898,20.934,POST
1541486,7.461,13.725,19.755,5.796,2.673,1.287,3.915,2.619,2.538,17.325,11.097,2.619,20.925,POST
1541487,7.515,13.779,19.881,5.742,2.898,1.53,3.708,2.394,2.484,17.397,11.133,2.601,20.889,POST
1541488,7.281,13.563,19.737,5.967,2.799,1.413,3.861,2.583,2.583,17.199,10.917,2.385,20.862,POST
1541489,7.488,13.752,19.836,5.445,2.52,1.116,4.086,2.772,2.205,17.388,11.088,2.592,20.88,POST
1541490,7.308,13.572,19.62,5.355,2.853,1.467,3.663,2.367,2.115,17.082,10.944,2.43,20.871,POST
