WOR
F
GM
STX
QCOM
FTSSF
GD
JPM
AMGN
VZ
XLNX
INTC
DAL
AXON
WMT
TGT
AAPL
T
BA
GE
IBM
DFS
WDC
AXP
AKS
ECSIF
FB
BKSC
ASTI
CBL
GME
BGG
BKS
ABBV
CVX
XOM
